real_label,predicted_label,probability_no_goal,probability_goal
True,False,0.905254996629876,0.09474500337012406
False,False,0.9072881335384365,0.09271186646156347
False,False,0.9048115860408626,0.09518841395913734
True,False,0.9067954523196491,0.09320454768035091
False,False,0.9066242989772397,0.09337570102276027
False,False,0.9049071724112107,0.09509282758878931
False,False,0.9041278711097392,0.09587212889026073
False,False,0.9057336619344598,0.09426633806554015
False,False,0.905201708739665,0.09479829126033501
False,False,0.9049609932627439,0.09503900673725606
False,False,0.9055052064050124,0.09449479359498757
False,False,0.9066349491183947,0.09336505088160535
False,False,0.9049327767849906,0.09506722321500942
False,False,0.9048604972257064,0.09513950277429359
False,False,0.9050656291132795,0.09493437088672046
False,False,0.9064898744611933,0.09351012553880668
